crash_row_id,site_id,site_name,site_gemeente,site_lat,site_long,distance_km,crash_lat,crash_long,DT_YEAR_COLLISION,DT_MONTH_COLLISION,DT_TIME,CD_NIS,TX_MUNTY_COLLISION_NL,TX_WEATHER_NL,TX_ROAD_CONDITION_NL,TX_LIGHT_CONDITION_NL,TX_CLASS_ACCIDENTS_NL,CD_ROAD_USR_TYPE1,TX_ROAD_USR_TYPE1_NL,CD_ROAD_USR_TYPE2,TX_ROAD_USR_TYPE2_NL
311,35,Lanaken teller 1,Lanaken,50.88112,5.6314,0.23383814701900316,50.88227089154238,5.634189685350802,2017,1,10,73042,Lanaken,Onbekend,Droog,Dag,met lichtgewonden,5,Lichte vrachtauto,3,Fiets
324,100,Mechelen teller 2,Mechelen,51.0457,4.46883,0.19962810189358912,51.047399028365824,4.467907445179255,2017,1,7,12025,Mechelen,Normaal,Droog,Dageraad - schemering,met lichtgewonden,9,personenauto,3,Fiets
324,99,Mechelen teller 1,Mechelen,51.04564,4.46882,0.20573549087624338,51.047399028365824,4.467907445179255,2017,1,7,12025,Mechelen,Normaal,Droog,Dageraad - schemering,met lichtgewonden,9,personenauto,3,Fiets
671,143,Eco Display Classic Budastraat,Kortrijk,50.83066,3.26286,0.16094096296481988,50.829311978473925,3.2620256292858083,2017,2,8,34022,Kortrijk,Normaal,Droog,Dag,met lichtgewonden,3,Fiets,9,personenauto
899,88,Westerlo teller 1,Westerlo,51.082,4.91325,0.05625248740143969,51.08247490394491,4.912972491225178,2017,3,16,13049,Westerlo,Normaal,Droog,Dag,met lichtgewonden,6,Bromfiets,3,Fiets
899,89,Westerlo teller 2,Westerlo,51.08191,4.91334,0.06785786446359623,51.08247490394491,4.912972491225178,2017,3,16,13049,Westerlo,Normaal,Droog,Dag,met lichtgewonden,6,Bromfiets,3,Fiets
975,101,Diest teller 1,Diest,50.97799,5.04481,0.0350949406238372,50.978280315801484,5.045006653137968,2017,3,12,24020,Diest,Normaal,Droog,Dag,met lichtgewonden,9,personenauto,3,Fiets
975,102,Diest teller 2,Diest,50.9779,5.04474,0.046226472584104075,50.978280315801484,5.045006653137968,2017,3,12,24020,Diest,Normaal,Droog,Dag,met lichtgewonden,9,personenauto,3,Fiets
976,101,Diest teller 1,Diest,50.97799,5.04481,0.0350949406238372,50.978280315801484,5.045006653137968,2017,3,8,24020,Diest,Normaal,Droog,Dag,met lichtgewonden,3,Fiets,9,personenauto
976,102,Diest teller 2,Diest,50.9779,5.04474,0.046226472584104075,50.978280315801484,5.045006653137968,2017,3,8,24020,Diest,Normaal,Droog,Dag,met lichtgewonden,3,Fiets,9,personenauto
1059,117,Melle teller 1,Melle,50.9986113,3.8040599,0.19925192363540806,50.99958013837921,3.806455166697817,2017,3,16,44040,Melle,Normaal,Droog,Dag,met lichtgewonden,9,personenauto,3,Fiets
1059,116,Melle teller 2,Melle,50.9986113,3.8040599,0.19925192363540806,50.99958013837921,3.806455166697817,2017,3,16,44040,Melle,Normaal,Droog,Dag,met lichtgewonden,9,personenauto,3,Fiets
1233,41,Maasmechelen teller 1,Maasmechelen,50.97025,5.69799,0.030783648186253128,50.96999401387289,5.697822591285061,2017,3,9,73107,Maasmechelen,Normaal,Droog,Dag,met lichtgewonden,9,personenauto,3,Fiets
1233,42,Maasmechelen teller 2,Maasmechelen,50.97043,5.6981,0.052226217022887544,50.96999401387289,5.697822591285061,2017,3,9,73107,Maasmechelen,Normaal,Droog,Dag,met lichtgewonden,9,personenauto,3,Fiets
1261,140,Hasselt ring,Hasselt,50.9300038,5.3438616,0.049638296669573034,50.929570007346754,5.343694409745199,2017,3,19,71022,Hasselt,Normaal,Onbekend,Dag,met lichtgewonden,9,personenauto,3,Fiets
1427,38,Lommel teller 2,Lommel,51.23277,5.29189,0.01368120758983138,51.2328913354185,5.2918574234743465,2017,4,17,72020,Lommel,Normaal,Droog,Dag,met lichtgewonden,9,personenauto,3,Fiets
1427,37,Lommel teller 1,Lommel,51.23299,5.29211,0.020727290223475005,51.2328913354185,5.2918574234743465,2017,4,17,72020,Lommel,Normaal,Droog,Dag,met lichtgewonden,9,personenauto,3,Fiets
1458,73,Herent teller 2,Herent,50.89128,4.64685,0.2452240019374092,50.8893578516412,4.64856394498921,2017,4,14,24038,Herent,Normaal,Droog,Dag,met lichtgewonden,3,Fiets,8,Voetganger
1613,18,Oostende 1,Oostende,51.21378,2.92765,0.22243308362198785,51.215617830505806,2.926389000225458,2017,4,19,35013,Oostende,Normaal,Droog,Dag,met lichtgewonden,3,Fiets,3,Fiets
